scenario_key,scenario_name,step,id,nombre,score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,costo_mclp,grado_dendritico,score_dendritico,cum_poblacion_marginal,cum_demanda_habilitada,cum_ciclistas_inducidos,cum_costo_mclp
integracion,Integración metropolitana,3,MET-L01,Rinconada - Santuario,0.641167,32199,697709,75461,745,6,122,4415,1,100,208598,501761,2472,13955
integracion,Integración metropolitana,4,MET-L06,Diagonal Norte - Sur,0.629838,62231,421086,96928,937,6,117,5163,1,100,270829,598689,3409,19118
integracion,Integración metropolitana,5,MET-L02,Mapocho,0.58835,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3983,22223
integracion,Integración metropolitana,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.550232,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4542,27010
integracion,Integración metropolitana,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.548118,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4911,30077
integracion,Integración metropolitana,8,I16,MATTA-VESPUCIO NORTE,0.500202,34088,1338139,64275,127,2,106,990,1,100,445737,799344,5038,31067
integracion,Integración metropolitana,9,MET-L05,Diagonal San Bdo - La Dehesa,0.492772,30883,363657,39375,679,3,104,5116,1,100,476620,838719,5717,36183
integracion,Integración metropolitana,10,I26,SAN PABLO,0.488631,32881,38409,22657,156,1,104,883,1,100,509501,861376,5873,37066
seguridad,Seguridad vial,1,MET-L04,Radial,0.721139,100383,1498876,215330,931,12,131,5765,1,100,100383,215330,931,5765
seguridad,Seguridad vial,2,MET-L03,Norte - Sur,0.721266,76016,1700993,210970,796,5,127,3775,1,100,176399,426300,1727,9540
seguridad,Seguridad vial,3,MET-L01,Rinconada - Santuario,0.676222,32199,697709,75461,745,6,122,4415,1,100,208598,501761,2472,13955
seguridad,Seguridad vial,4,MET-L06,Diagonal Norte - Sur,0.639147,62231,421086,96928,937,6,117,5163,1,100,270829,598689,3409,19118
seguridad,Seguridad vial,5,MET-L02,Mapocho,0.598766,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3983,22223
seguridad,Seguridad vial,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.515276,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4542,27010
seguridad,Seguridad vial,7,MET-L09,Rinconada Maipú - Cajon del Maipo,0.478942,55040,93472,53794,369,4,107,3067,1,100,411649,735069,4911,30077
seguridad,Seguridad vial,8,MET-L05,Diagonal San Bdo - La Dehesa,0.409373,30883,363657,39195,679,3,105,5116,1,100,442532,774264,5590,35193
seguridad,Seguridad vial,9,I16,MATTA-VESPUCIO NORTE,0.382969,34088,1353116,64455,127,2,104,990,1,100,476620,838719,5717,36183
seguridad,Seguridad vial,10,I26,SAN PABLO,0.397146,32881,38409,22657,156,1,104,883,1,100,509501,861376,5873,37066
intermodal,Intermodalidad bici-metro,1,MET-L03,Norte - Sur,0.794674,91130,1466776,201760,795,5,138,3775,1,100,91130,201760,795,3775
intermodal,Intermodalidad bici-metro,2,MET-L04,Radial,0.76284,85269,1782859,224540,933,12,127,5765,1,100,176399,426300,1728,9540
intermodal,Intermodalidad bici-metro,3,MET-L01,Rinconada - Santuario,0.641026,32199,697709,75461,745,6,122,4415,1,100,208598,501761,2473,13955
intermodal,Intermodalidad bici-metro,4,MET-L06,Diagonal Norte - Sur,0.540948,62231,421086,96928,937,6,117,5163,1,100,270829,598689,3410,19118
intermodal,Intermodalidad bici-metro,5,MET-L02,Mapocho,0.534457,26036,81305,33377,574,4,114,3105,1,100,296865,632066,3984,22223
intermodal,Intermodalidad bici-metro,6,MET-L07,Diagonal Padre Hurtado - Vitacura,0.446643,59744,121130,49209,559,6,110,4787,1,100,356609,681275,4543,27010
intermodal,Intermodalidad bici-metro,7,I16,MATTA-VESPUCIO NORTE,0.437774,34088,1320348,63938,127,2,109,990,1,100,390697,745213,4670,28000
intermodal,Intermodalidad bici-metro,8,MET-L09,Rinconada Maipú - Cajon del Maipo,0.46759,55040,93472,54131,369,4,106,3067,1,100,445737,799344,5039,31067
intermodal,Intermodalidad bici-metro,9,I26,SAN PABLO,0.421714,32881,38409,22657,156,1,106,883,1,100,478618,822001,5195,31950
intermodal,Intermodalidad bici-metro,10,MET-L05,Diagonal San Bdo - La Dehesa,0.415897,30883,363657,39375,679,3,104,5116,1,100,509501,861376,5874,37066
