strategy,transition_step,source_id,source_nombre,target_id,target_nombre,score_before,score_after,delta_score,rank_before,rank_after,delta_rank_improvement,relation
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C015,JOSE MANUEL GUZMAN,0.2845092001303485,0.2845092001303485,0,76,75,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C046,EUCALIPTOS,0.2836213631052964,0.2836213631052964,0,77,76,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C022,LLANURA  - EL DESIERTO,0.2832694397879176,0.2832694397879176,0,78,77,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I18,NUEVA IMPERIAL,0.28249960315815087,0.2713475180044774,-0.011152085153673497,79,82,-3,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I31,FERNANDEZ ALBANO,0.27793271006427517,0.27793271006427517,0,80,78,2,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C035,PRODIVENCIA,0.27556952254522565,0.27556952254522565,0,81,79,2,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C052,BAQUEDANO - POSTALES ORIENTE,0.2725119994529144,0.2725119994529144,0,82,80,2,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C062,CORONA SUECA,0.27233361403980005,0.27233361403980005,0,83,81,2,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C089,J J PEREZ,0.26495488367176884,0.26495488367176884,0,84,83,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C064,SILVA CARVALLO - SANTA ELENA,0.264928178794096,0.264928178794096,0,85,84,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C047,VIOLETA PARRA,0.2648001936107111,0.2648001936107111,0,86,85,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C079,LAS AMERICAS,0.26410913255677176,0.264377359699667,0.00026822714289526095,87,86,1,complementarity_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C40,VICUÑA MACKENNA - SAN MARTIN,0.2599804114545511,0.2599804114545511,0,88,88,0,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C011,EYZAGUIRRE,0.2597262361382782,0.2597262361382782,0,89,89,0,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C069,LOS OLMOS,0.2594151168255869,0.2594151168255869,0,90,90,0,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C065,NUEVA SAN MARTIN,0.2588125082913236,0.2588125082913236,0,91,91,0,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C009,EL ROSAL - SANTA ELENA,0.258292338870139,0.258292338870139,0,92,92,0,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C076,ISLA DECEPCION,0.25765035826791644,0.24485989841133612,-0.01279045985658031,93,100,-7,substitution_signal
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C002,CAPITAN IGNACIO CARRERA PINTO,0.2546555618818747,0.2546555618818747,0,94,93,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C048,GENERAL ARRIAGADA,0.2517348978903142,0.2517348978903142,0,95,94,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C033,OBSERVATORIO,0.25172362934577086,0.25172362934577086,0,96,95,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,I03,CARRASCAL,0.24854515940907576,0.24854515940907576,0,97,96,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C054,VICTORIA,0.24818166256108362,0.24818166256108362,0,98,97,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C017,LA PARINACOTA,0.24787162646529243,0.24787162646529243,0,99,98,1,neutral
eva_adaptive_fixed_set,1,I12,LAS REJAS - SUIZA - DEPARTAMENTAL,C056,TEMUCO - TORO MAZOTTE,0.2468166288620158,0.2468166288620158,0,100,99,1,neutral
