scenario,scenario_label,step,id,nombre,escala,initial_rank,own_score,poblacion_marginal,poblacion_beneficiada,demanda_habilitada,ciclistas_inducidos,componentes_unidos,componentes_red,delta_componentes,reduccion_componentes_etapa,reduccion_componentes_acumulada,costo_mclp,cum_cost_mclp,cum_population,cum_demand,cum_cyclists
eficiencia,Eficiencia presupuestaria,109,C008,EL CERRO,Comunal,118,0.3510120406176661,0,0,0,22,1,107,0,0,35,206,35311,581506,863883,6294
eficiencia,Eficiencia presupuestaria,110,I05,DIAGONAL JOSE MARIA CARO,Intercomunal,18,0.346255891159264,21,21,13,114,1,107,0,0,35,644,35955,581527,863896,6408
eficiencia,Eficiencia presupuestaria,111,I24,RADAL,Intercomunal,40,0.34557160802016673,0,0,0,119,1,107,0,0,35,509,36464,581527,863896,6527
eficiencia,Eficiencia presupuestaria,112,C080,PARAGUAY,Comunal,110,0.33774949295475304,4035,0,0,57,0,108,1,-1,34,273,36737,585562,863896,6584
eficiencia,Eficiencia presupuestaria,113,I25,SAN FRANCISCO,Intercomunal,111,0.3390922936938545,7590,11625,5804,223,2,107,-1,1,35,1001,37738,593152,869700,6807
eficiencia,Eficiencia presupuestaria,114,I13,LO ESPEJO-RIQUELME,Intercomunal,99,0.3354733431540243,0,0,0,128,2,106,-1,1,36,700,38438,593152,869700,6935
eficiencia,Eficiencia presupuestaria,115,I06,DIAGONAL ORIENTE,Intercomunal,115,0.32816111477702015,0,0,0,256,1,106,0,0,36,1138,39576,593152,869700,7191
eficiencia,Eficiencia presupuestaria,116,I08,GENERAL OSCAR BONILLA,Intercomunal,19,0.3236662800910176,0,4898,1681,99,1,106,0,0,36,595,40171,593152,871381,7290
eficiencia,Eficiencia presupuestaria,117,C064,SILVA CARVALLO - SANTA ELENA,Comunal,103,0.32317658257920046,0,0,0,51,1,106,0,0,36,545,40716,593152,871381,7341
eficiencia,Eficiencia presupuestaria,118,C004,CONSISTORIAL,Comunal,121,0.3188856352703657,0,0,0,51,1,106,0,0,36,563,41279,593152,871381,7392
eficiencia,Eficiencia presupuestaria,119,C016,JUANITA,Comunal,122,0.31643838945556746,21,21,11,26,1,106,0,0,36,123,41402,593173,871392,7418
eficiencia,Eficiencia presupuestaria,120,C018,LA PRIMAVERA,Comunal,120,0.3711577909048321,0,0,0,37,1,106,0,0,36,183,41585,593173,871392,7455
eficiencia,Eficiencia presupuestaria,121,C025,LOS DURAZNOS,Comunal,119,0.31173158083041114,238,238,119,2,1,106,0,0,36,128,41713,593411,871511,7457
eficiencia,Eficiencia presupuestaria,122,C017,LA PARINACOTA,Comunal,114,0.30912024373239244,2096,0,0,6,1,106,0,0,36,465,42178,595507,871511,7463
eficiencia,Eficiencia presupuestaria,123,C073,LOS MORROS,Comunal,124,0.2972756183159087,4670,0,0,17,0,107,1,-1,35,335,42513,600177,871511,7480
eficiencia,Eficiencia presupuestaria,124,I14,LO OVALLE,Intercomunal,8,0.24034223490660586,0,0,0,240,1,107,0,0,35,1374,43887,600177,871511,7720
