id,nombre,escala,scenario,scenario_label,rank
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,ciclistas_biogeme,Logit,7
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,fractal_alameda,Fractal,6
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,continuidad,Continuidad,10
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,eficiencia,Eficiencia,98
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,educacion,Educación,18
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,integracion,Integración,11
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,seguridad,Seguridad,7
I19,PAC-LO ESPEJO-SN BDO,Intercomunal,intermodal,Intermodal,13
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,ponderacion_rmc,RMC,7
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,balanceado,Balanceado,19
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,equidad,Equidad,28
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,demanda,Demanda,18
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,ciclistas_biogeme,Logit,22
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,fractal_alameda,Fractal,20
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,continuidad,Continuidad,11
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,eficiencia,Eficiencia,15
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,educacion,Educación,12
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,integracion,Integración,14
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,seguridad,Seguridad,23
I20,PAC - LO ESPEJO - EL BOSQUE,Intercomunal,intermodal,Intermodal,16
EP-I34,VICUÑA MACKENNA,Intercomunal,ponderacion_rmc,RMC,18
EP-I34,VICUÑA MACKENNA,Intercomunal,balanceado,Balanceado,20
EP-I34,VICUÑA MACKENNA,Intercomunal,equidad,Equidad,33
