step,best_population_scenario,best_population_label,best_population_share,best_demand_scenario,best_demand_label,best_demand_share,best_components_scenario,best_components_label,best_components_share,best_joint_pd_scenario,best_joint_pd_label,best_joint_pd_index,best_joint_pdc_scenario,best_joint_pdc_label,best_joint_pdc_index
93,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
94,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
95,educacion,Educación,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
96,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
97,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
98,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
99,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
100,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
101,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
102,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
103,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
104,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
105,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
106,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
107,ciclistas_biogeme,Logit,0.9871987763609735,continuidad,Continuidad,0.9994733291107868,balanceado,Balanceado,1.0285714285714285,educacion,Educación,0.9933360527358801,continuidad,Continuidad,0.9973223557558514
